IdIngredient,IngredientNameEN,IngredientNameFR,IngredientSynonymEN,IngredientSynonymFR,CategoryEN,CategoryFR,ContituentIngredientsEN,ContituentIngredientsFR
489,Abalone,Ormeau,abalone,ormeau,Fungus,Champignon,Abalone,Ormeau
490,Abiyuch,Abiyuch,abiyuch,abiyuch,Plant,Plante,Abiyuch,Abiyuch
491,Acerola,Acérola,acerola,acérola,Fruit,Fruit,Acerola,Acérola
95,Achilleas,Achilleas,achillea,achillea,Essential Oil,Huile essentielle,Achilleas,Achilleas
492,Acorn,Gland,acorn,gland,Nuts & Seed,Noix et graines,Acorn,Gland
882,Adobo,Adobo,#adobo#,#adobo#,Dish,Vaisselle,Adobo,Adobo
2062,Adobo,Adobo,adobo,adobo,Dish,Plat,"cayenne, garlic, cider-vinegar, salt, sugar, cumin, chicken, adobo","cayenne, ail, vinaigre de cidre, sel, sucre, cumin, poulet, adobo"
2054,Adobo Sauce,Sauce Adobo,adobo sauce,sauce adobo,Dish,Vaisselle,"cayenne, garlic, cider-vinegar, salt, sugar, cumin","cayenne, ail, vinaigre de cidre, sel, sucre, cumin"
455,Adzuki bean,Haricot Adzuki,bean-adzuki,haricot-adzuki,Legume,Légumineuse,Adzuki bean,Haricot Adzuki
494,Agar,Agar,agar,agar,Additive,Additif,Agar,Agar
717,Agave,Agave,agave,agave,Plant,Plante,Agave,Agave
921,Akutaq,Akutaq,akutaq,akutaq,Dish,Vaisselle,Akutaq,Akutaq
512,Alaska blackfish,Poisson noir d'Alaska,blackfish,poisson noir,Fish,Poisson,Alaska blackfish,Poisson noir d'Alaska
664,Alaska pollock,Colin d'Alaska,#pollock-alaska#,#pollock-alaska#,Fish,Poisson,Alaska pollock,Colin d'Alaska
696,Alaska wild rhubarb,Rhubarbe sauvage d'Alaska,rhubarb-alaska,rhubarbe-alaska,Plant,Plantes,Alaska wild rhubarb,Rhubarbe sauvage d'Alaska
679,Albacore tuna,Thon albacore,#tuna-albacore#,#tuna-albacore#,Fish,Poisson,Albacore tuna,Thon albacore
2018,Ale,Ale,ale,ale,Beverage Alcoholic,Boisson Alcoolisée,"beer, hops-beer","bière, bière de houblon"
496,Alfalfa,Luzerne,alfalfa,luzerne,Herb,Herb,Alfalfa,Luzerne
300,Allium,Allium,allium,allium,Plant,Plante,Allium,Allium
375,Allspice,Piment de la Jamaïque,allspice; pimenta; myrtle-pepper,piment de la Jamaïque ; pimenta ; myrte-poivre,Spice,Épices,Allspice,Piment de la Jamaïque
281,Almond,Amande,almond,amande,Nuts & Seed,Noix et graines,Almond,Amande
586,Alpine sweetvetch,Mélilot des Alpes,sweetvetch,mélilot,Plant,Plante,Alpine sweetvetch,Mélilot des Alpes
301,Alpinia,Alpinia,alpinia,alpinia,Plant,Plante,Alpinia,Alpinia
497,Amaranth,Amarante,amaranth,amarante,Herb,Herbe,Amaranth,Amarante
524,American butterfish,Papillon d'Amérique,butterfish,papillon,Fish,Poisson,American butterfish,Papillon d'Amérique
613,American pokeweed,Pokeweed américain,pokeweed-american,pokeweed-american,Herb,Herbe,American pokeweed,Pokeweed américain
643,American shad,Alose savoureuse,shad,alose,Fish,Poisson,American shad,Alose savoureuse
728,Anatidae,Anatidae,anatidae,anatidae,Meat,Viande,Anatidae,Anatidae
720,Anchovy,Anchois,#anchovy#,#anchovy#,Fish,Poisson,Anchovy,Anchois
2073,Anchovy,Anchois,anchovy,anchois,Fish,Poisson,"anchovy-european, anchovy","anchois-européen, anchois"
248,Angelica,Angélique,angelica,angélique,Herb,Herb,Angelica,Angélique
729,Anguilliformes,Anguilliformes,anguilliformes,anguilliformes,Fish,Poisson,Anguilliformes,Anguilliformes
323,Anise,Anis,anise; saunf,anis ; saunf,Spice,Épices,Anise,Anis
12,Anise Brandy,Eau-de-vie d'anis,brandy-anise,brandy-anis,Beverage Alcoholic,Boissons alcoolisées,Anise Brandy,Eau-de-vie d'anis
324,Anise Hyssop,Anis hysope,anise-hyssop,anis-hysope,Spice,Épice,Anise Hyssop,Anis hysope
979,Anise Oil,Huile d'anis,#anise-oil#,#huile d'anis,Fruit,Fruit,Anise Oil,Huile d'anis
162,Apple,Pomme,apple,pomme,Fruit,Fruits,Apple,Pomme
13,Apple Brandy,Brandy de pomme,brandy-apple,brandy-pomme,Beverage Alcoholic,Boissons alcoolisées,Apple Brandy,Brandy de pomme
383,Apple Cider Vinegar,Vinaigre de cidre de pomme,vinegar-cider; cider-vinegar,vinaigre-cidre ; cidre-vinaigre,Plant,Plante,Apple Cider Vinegar,Vinaigre de cidre de pomme
980,Apple Juice,Jus de pomme,apple-juice,jus de pomme,Fruit,Fruit,Apple Juice,Jus de pomme
163,Apple Sauce,Sauce aux pommes,#apple-sauce#,#pomme-sauce#,Fruit,Fruits,Apple Sauce,Sauce aux pommes
